state,count
MS,3
OK,3
WY,0
MN,3
IL,12
GA,12
AR,1
NM,2
OH,30
IN,8
MD,7
LA,11
ID,3
AZ,5
IA,3
NY,28
MI,20
KS,1
UT,7
VA,5
OR,11
CT,4
MT,0
CA,92
MA,10
WV,2
SC,2
NH,0
VT,1
DE,2
ND,1
PA,10
FL,41
AK,1
KY,2
HI,0
NE,4
MO,3
WI,4
AL,5
RI,0
SD,1
CO,6
NJ,6
WA,4
NC,3
TN,12
TX,31
NV,4
ME,0
