state,count
MS,4
OK,6
WY,1
MN,8
IL,10
GA,14
AR,2
NM,4
OH,32
IN,5
MD,4
LA,9
ID,1
AZ,14
IA,6
NY,43
MI,31
KS,3
UT,4
VA,15
OR,4
CT,3
MT,2
CA,131
MA,16
WV,3
SC,2
NH,5
VT,0
DE,0
ND,1
PA,21
FL,47
AK,2
KY,4
HI,6
NE,2
MO,6
WI,10
AL,12
RI,1
SD,1
CO,3
NJ,10
WA,18
NC,19
TN,11
TX,41
NV,9
ME,2
