state,count
MS,6
OK,6
WY,1
MN,20
IL,49
GA,47
AR,5
NM,11
OH,47
IN,17
MD,27
LA,8
ID,2
AZ,19
IA,11
NY,76
MI,27
KS,16
UT,15
VA,17
OR,17
CT,13
MT,1
CA,223
MA,37
WV,4
SC,14
NH,5
VT,3
DE,3
ND,1
PA,49
FL,76
AK,6
KY,9
HI,4
NE,8
MO,30
WI,14
AL,16
RI,4
SD,1
CO,14
NJ,31
WA,29
NC,21
TN,32
TX,111
NV,20
ME,19
