state,count
MS,4
OK,20
WY,0
MN,27
IL,68
GA,61
AR,4
NM,6
OH,75
IN,29
MD,19
LA,22
ID,6
AZ,34
IA,13
NY,110
MI,67
KS,13
UT,10
VA,85
OR,24
CT,18
MT,0
CA,362
MA,42
WV,4
SC,11
NH,3
VT,2
DE,2
ND,2
PA,69
FL,86
AK,2
KY,11
HI,9
NE,9
MO,20
WI,34
AL,12
RI,2
SD,1
CO,30
NJ,33
WA,44
NC,37
TN,27
TX,91
NV,21
ME,14
