state,count
MS,2
OK,7
WY,1
MN,10
IL,29
GA,31
AR,12
NM,2
OH,50
IN,11
MD,19
LA,13
ID,0
AZ,21
IA,9
NY,92
MI,36
KS,5
UT,3
VA,13
OR,15
CT,9
MT,0
CA,185
MA,19
WV,4
SC,7
NH,0
VT,1
DE,0
ND,1
PA,29
FL,63
AK,2
KY,9
HI,7
NE,3
MO,5
WI,9
AL,12
RI,0
SD,1
CO,7
NJ,16
WA,21
NC,18
TN,20
TX,65
NV,14
ME,8
