state,count
MS,15
OK,14
WY,2
MN,24
IL,80
GA,55
AR,7
NM,11
OH,63
IN,34
MD,27
LA,24
ID,5
AZ,65
IA,12
NY,123
MI,66
KS,9
UT,16
VA,73
OR,26
CT,19
MT,2
CA,400
MA,39
WV,12
SC,23
NH,6
VT,3
DE,4
ND,1
PA,64
FL,139
AK,4
KY,14
HI,12
NE,5
MO,20
WI,29
AL,16
RI,7
SD,2
CO,26
NJ,32
WA,36
NC,35
TN,30
TX,117
NV,21
ME,2
