state,count
MS,4
OK,13
WY,0
MN,22
IL,48
GA,39
AR,9
NM,4
OH,79
IN,19
MD,23
LA,12
ID,8
AZ,37
IA,7
NY,112
MI,48
KS,9
UT,11
VA,28
OR,21
CT,10
MT,2
CA,234
MA,17
WV,6
SC,7
NH,3
VT,2
DE,5
ND,1
PA,49
FL,97
AK,0
KY,22
HI,2
NE,3
MO,18
WI,3
AL,11
RI,2
SD,0
CO,11
NJ,43
WA,31
NC,31
TN,29
TX,99
NV,14
ME,5
