state,count
MS,10
OK,27
WY,0
MN,18
IL,59
GA,58
AR,11
NM,5
OH,81
IN,52
MD,23
LA,24
ID,4
AZ,36
IA,7
NY,124
MI,57
KS,13
UT,19
VA,26
OR,26
CT,19
MT,2
CA,331
MA,41
WV,8
SC,25
NH,5
VT,2
DE,3
ND,2
PA,51
FL,116
AK,1
KY,4
HI,3
NE,10
MO,29
WI,21
AL,15
RI,3
SD,1
CO,28
NJ,21
WA,40
NC,40
TN,29
TX,135
NV,11
ME,15
