state,count
MS,4
OK,5
WY,2
MN,18
IL,21
GA,27
AR,4
NM,2
OH,32
IN,15
MD,9
LA,6
ID,0
AZ,16
IA,3
NY,40
MI,24
KS,7
UT,7
VA,14
OR,7
CT,7
MT,2
CA,117
MA,8
WV,6
SC,6
NH,2
VT,0
DE,1
ND,1
PA,22
FL,24
AK,2
KY,5
HI,1
NE,7
MO,6
WI,7
AL,7
RI,1
SD,1
CO,11
NJ,13
WA,17
NC,16
TN,18
TX,60
NV,8
ME,6
