state,count
MS,9
OK,31
WY,0
MN,42
IL,96
GA,63
AR,10
NM,11
OH,107
IN,34
MD,53
LA,32
ID,3
AZ,48
IA,23
NY,239
MI,103
KS,25
UT,22
VA,67
OR,53
CT,42
MT,8
CA,403
MA,56
WV,18
SC,17
NH,3
VT,2
DE,2
ND,7
PA,105
FL,112
AK,5
KY,31
HI,7
NE,13
MO,27
WI,41
AL,24
RI,7
SD,6
CO,32
NJ,45
WA,80
NC,72
TN,48
TX,250
NV,33
ME,31
