state,count
MS,4
OK,12
WY,2
MN,37
IL,79
GA,60
AR,9
NM,11
OH,96
IN,46
MD,36
LA,28
ID,8
AZ,75
IA,16
NY,205
MI,77
KS,13
UT,10
VA,66
OR,32
CT,22
MT,6
CA,391
MA,47
WV,11
SC,35
NH,7
VT,0
DE,2
ND,4
PA,95
FL,156
AK,4
KY,45
HI,15
NE,3
MO,16
WI,32
AL,24
RI,5
SD,5
CO,37
NJ,49
WA,42
NC,61
TN,32
TX,160
NV,42
ME,9
