state,count
MS,68
OK,144
WY,10
MN,233
IL,568
GA,489
AR,83
NM,75
OH,726
IN,281
MD,255
LA,195
ID,42
AZ,383
IA,112
NY,1222
MI,577
KS,117
UT,135
VA,421
OR,244
CT,172
MT,26
CA,2976
MA,336
WV,82
SC,154
NH,42
VT,16
DE,26
ND,22
PA,587
FL,989
AK,32
KY,159
HI,67
NE,70
MO,189
WI,213
AL,163
RI,33
SD,20
CO,212
NJ,309
WA,370
NC,358
TN,294
TX,1193
NV,201
ME,116
