"2","Then that time when George HW Bush, sick with flu , hurled and fainted at a 1992 state dinner in Japan. http:// tinyurl.com/hfsgwvw"
"0","I feel like I'm sick at least once a month is this normal?? I swear I JUST had the flu and now it's a cold"
"0","Why can't just one cold and flu season pass without me getting sick ?"
"0","It is a year to the day when I got the flu that turned into lupus and I'm getting sick again why am I so predictable"
"2","hope this flu shot ain't gunna get me sick"
"2","twice I've been really sick -- once with the flu -- but could not take a sick day due to immovable deadlines."
"0","I got the flu shot bc my doctor recommends it for preggo bitches. But last time I got it, I got horribly sick . I hope I'm okay this time."
"2","My last med.. I'm still sick .. #flu #notfeelingwell https://www. instagram.com/p/BKTIwRKjHfW/"
"2","Feeling sick ... Activating Man Flu "" in 5.4.3.2.1............. WAAAAAAAAAAAAAAAAAAAAHHHHHHHH!!!!!!!!! Come take care of me!!!!!!! lol"""
"2","I'm sick today flu"
"2","Is you sick from the dick or is it the flu ? Excellent"
"2","What's the purpose of a flu shot if it's stil gonn make you sick ???"
"2","@mjwatts1983 @Salon @embeedub Exactly an entire household can be sick with the Flu n the Woman has to push through it 4family"
"0","I bed right now due to flu ... I don't get sick until I start going to school."
"2","So sick . Flu ? What the heck."
"2","than the flu or even a cold. Most immune systems destroy the bacteria before it can make them sick ."
"0","Flu go away. :.( I still need to finish some stuffs.. 󾍀󾌮 — feeling sick"
"0","OMG it's 90F/32c outside and I'm in bed being sick having flu is just stupid pic.twitter.com/rsuwibmelg"
"2","Flu sick pic.twitter.com/wYQ6uxI7xO"
"0","Flu is making me so sick ugh"
"2","Ok so @HillaryClinton is human. She's been working hard, and traveling all over. I am 40 and healthy. I too have been ill, flu & home sick !"
"0","I feel so sick with all these flu and fever and headache"
"0","He has a cold and gets me sick ... I pretty much end up with the flu ...I hate him"
"0","In my 22 years of existence, I've never heard him saying he's sick . He doesn't even get flu but he's forever walking barefoot"
"2","If your cold symptoms came on suddenly and you feel very sick , it’s probable that you have a flu"
"2","#MedicalNews : Clearly #HillaryClinton has the #flu . Note how her name flows better without  sick "" in front of it. https:// twitter.com/Cernovich/stat us/775103823425605632 …"""
"0","Omg I feel so sick ! Feels like flu ?? Quick get me to where my grandkids live!"" Said no loving Grandma EVER!"""
"2","Q: What do you call a half-dozen Indians with Asian flu ? A: Six sick Sikhs (sic)."
"2","Funny thing is, even if i start today to get sick with end of summer flu + its 34 degrees outside..this little... http:// fb.me/35VuYARPC"
"2","Funny thing is, even if i start today to get sick with end of summer flu + its 34 degrees… https://www. instagram.com/p/BKS7S3Ph6VH/"
"2","Q: What do you call a half-dozen Indians with Asian flu ? A: Six sick Sikhs (sic)."
"2","Q: What do you call a half-dozen Indians with Asian flu ? A: Six sick Sikhs (sic)."
"0","Trying to work whilst sick with the flu is not fun. What is fun is that I get to use the word whilst""."""
"2","parang you've been sick for so long! That could not be just your run of the mill flu . Get well soon!"
"0","I'm getting the flu ....but I have an evening shoot and just got an audition.Aint nobody got time to be sick when you have work to do"
"2","arrrgh you at it again Shan!! I'm about getting the flu now! Baah I don't wanna be sick ! Blaargh"
"2","Q: What do you call a half-dozen Indians with Asian flu ? A: Six sick Sikhs (sic)."
"2","you must of caught a Lil flu from being sick of the bullshit"
"2","Im getting sick of this flu"
"2","I was sick with the stomach flu"
"2","Sick and tired of this stupid flu ."
"0","im fucking sick ... i hate flu season"
"0","are you still sick ? :( are you sure it's a cold and not the flu or mono?"
"2","Eish le Flu iza ngama kakanas — feeling sick"
"0","Many people many colors shapes & sizes Some have cancer others The flu some live long Some live short sad we have Some who are outright sick"
"2","If people could stop informing me that I look/am sick , it would be great. I have a flu and a mirror, I'm aware."
"0","fresher's flu , gone back to college and got sick . Same as when I used to go back to uni"
"0","I get embarrassed about feelin sick even if it's just flu I #Hide &Cough but I've come 2accept dat d human body goes thru constant changes..."
"2","sick ok jangan flu Yang rabak sudah!! Goodluck though"
"2","Yoga for when you're sick with a cold or the flu - http://www. yogaposestoday.xyz/yoga-for-when- youre-sick-with-a-cold-or-the-flu-21/ … #yoga #fitness #health pic.twitter.com/M8PYrxiU3x"
"2","http:// boo.dance Cheers are paintballs until Boo Crew ruins it! I'm still flu sick ! Let's sweat it out! pic.twitter.com/Fb487M44Gu"
"2","Q: What do you call a half-dozen Indians with Asian flu ? A: Six sick Sikhs (sic)."
"2","Currently sick with the flu , binge watching @PLLTVSeries . pic.twitter.com/2fU8u9IA6L"
"0","Maybe I'm sick because I didn't get the flu shot this year"
"2","I'm flu game sick"
"2","@bakuchessol2016 R11 LIVE: Sick w/ flu can't sleep. So hey, watch the last rd. live! #whoneedssleepwhenyouhavechess | https:// chess24.com/en/watch/live- tournaments/42nd-chess-olympiad-baku-2016-open/11/1/1 …"
"2","Flu berat Ketika badan terasa panas tapi udara diluar dingin dan batuk ga… ♫ 사랑이 아프다 Love Sick by Hwanhee — https:// path.com/p/12e21y"
"0","same. I mean I actually get sick all the time but it's never the flu"
