date,value
2016-12-21,309
2016-12-22,299
2016-12-23,412
2016-12-24,236
2016-12-25,227
2016-12-26,340
2016-12-27,366
2016-12-28,389
2016-12-29,402
2016-12-30,397
2016-12-31,237
